
+-----------------------------------+-----------+--------------------------------------------+------------------------------------------+--------------------------------+
| Statement:                                                                                                                                                             |
|    edges.sender_is("service").receiver_is("service").all_are("encrypted")                                                                                              |
+-----------------------------------+-----------+--------------------------------------------+------------------------------------------+--------------------------------+
| Step                              | Decision  | Node / Edge                                | Stereotypes                              | Traceability                   |
+-----------------------------------+-----------+--------------------------------------------+------------------------------------------+--------------------------------+
| ### Scope transformations ###     |           |                                            |                                          |                                |
| --------------------------------- | --------- | ------------------------------------------ | ---------------------------------------- | ------------------------------ |
| 1. receiver_is("service")         | included  | service_two -> logstash                    | ['restful_http']                         |                                |
|                                   | included  | web_application -> api_gateway             | ['restful_http']                         |                                |
|                                   | included  | service_two_db -> scope                    | ['restful_http']                         |                                |
|                                   | included  | service_one_db -> scope                    | ['restful_http']                         |                                |
|                                   | included  | api_gateway -> scope                       | ['restful_http']                         |                                |
|                                   | included  | consul -> service_two                      | ['restful_http']                         |                                |
|                                   | included  | api_gateway -> service_two                 | ['restful_http']                         |                                |
|                                   | included  | consul -> service_one                      | ['restful_http']                         |                                |
|                                   | included  | consul -> api_gateway                      | ['restful_http']                         |                                |
|                                   | included  | elasticsearch -> scope                     | ['restful_http']                         |                                |
|                                   | included  | service_one -> scope                       | ['restful_http']                         |                                |
|                                   | included  | kibana -> scope                            | ['restful_http']                         |                                |
|                                   | included  | rabbit -> service_one                      | ['message_consumer_rabbitmq',            |                                |
|                                   |           |                                            | 'restful_http']                          |                                |
|                                   | included  | consul3 -> consul2                         | ['restful_http']                         |                                |
|                                   | included  | logstash -> elasticsearch                  | ['restful_http']                         |                                |
|                                   | included  | consul3 -> scope                           | ['restful_http']                         |                                |
|                                   | included  | service_two -> scope                       | ['restful_http']                         |                                |
|                                   | included  | service_two_db -> service_two              | ['jdbc', 'plaintext_credentials_link']   |                                |
|                                   | included  | consul2 -> consul                          | ['restful_http']                         |                                |
|                                   | included  | rabbit -> scope                            | ['restful_http']                         |                                |
|                                   | included  | consul3 -> consul                          | ['restful_http']                         |                                |
|                                   | included  | service_two -> rabbit                      | ['message_producer_rabbitmq',            |                                |
