
+-----------------------------------+-----------+--------------------------------------------+------------------------------------------+--------------------------------+
| Statement:                                                                                                                                                             |
|    edges.sender_is("service").receiver_is("service").all_are("encrypted")                                                                                              |
+-----------------------------------+-----------+--------------------------------------------+------------------------------------------+--------------------------------+
| Step                              | Decision  | Node / Edge                                | Stereotypes                              | Traceability                   |
+-----------------------------------+-----------+--------------------------------------------+------------------------------------------+--------------------------------+
| ### Scope transformations ###     |           |                                            |                                          |                                |
| --------------------------------- | --------- | ------------------------------------------ | ---------------------------------------- | ------------------------------ |
| 1. receiver_is("service")         | included  | kafka -> mailer                            | ['restful_http',                         |                                |
|                                   |           |                                            | 'message_consumer_kafka']                |                                |
|                                   | included  | reminder -> eureka_server                  | ['restful_http']                         |                                |
|                                   | included  | admin -> reminder                          | ['restful_http']                         |                                |
|                                   | included  | config_server -> reminder                  | ['restful_http']                         |                                |
|                                   | included  | config_server -> mailer                    | ['restful_http']                         |                                |
|                                   | included  | reminder -> kafka                          | ['restful_http',                         |                                |
|                                   |           |                                            | 'message_producer_kafka']                |                                |
|                                   | included  | eureka_server -> api_gateway               | ['restful_http']                         |                                |
|                                   | included  | admin -> api_gateway                       | ['restful_http']                         |                                |
|                                   | included  | config_server -> user_service              | ['restful_http']                         |                                |
|                                   | included  | config_server -> api_gateway               | ['restful_http']                         |                                |
|                                   | included  | api_gateway -> user_service                | ['restful_http', 'load_balanced_link',   |                                |
|                                   |           |                                            | 'feign_connection']                      |                                |
|                                   | included  | config_server -> oauth                     | ['restful_http']                         |                                |
|                                   | included  | oauth -> user_service                      | ['restful_http', 'auth_provider',        |                                |
|                                   |           |                                            | 'load_balanced_link',                    |                                |
|                                   |           |                                            | 'feign_connection']                      |                                |
|                                   | included  | admin -> config_server                     | ['restful_http']                         |                                |
|                                   | included  | config_server -> eureka_server             | ['restful_http']                         |                                |
|                                   | included  | oauth -> eureka_server                     | ['restful_http']                         |                                |
|                                   | included  | admin -> oauth                             | ['restful_http']                         |                                |
|                                   | included  | proxy -> api_gateway                       | ['restful_http',                         |                                |
|                                   |           |                                            | 'authenticated_request',                 |                                |
